gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000222385	RN7SKP158	0	0	0	0	0	0	0	0
ENSG00000222386	RN7SKP86	0	0	0	0	0	0	0	0
ENSG00000222389	RNU2-28P	0	0	0	0	0	0	0	0
ENSG00000222391	AL137118.1	0	0	0	0	0	0	0	0
ENSG00000222394	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222395	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222397	RN7SKP229	0	0	0	0	0	0	0	0
ENSG00000222398	RNU6-554P	0	0	2	0	0	0	0	0
ENSG00000222404	RN7SKP281	0	0	0	0	0	0	1	0
ENSG00000222405	RNU4-65P	0	0	0	0	0	0	0	0
ENSG00000222407	RNA5SP80	0	0	0	0	0	0	0	0
ENSG00000222408	AL160279.1	0	0	0	0	0	0	0	0
ENSG00000222409	AC103996.1	0	0	0	0	0	0	0	0
ENSG00000222411	RNY5P3	0	0	0	0	0	0	0	0
ENSG00000222412	Y_RNA	0	0	0	1	0	0	0	1
ENSG00000222413	RN7SKP125	0	0	0	0	0	0	0	0
ENSG00000222414	RNU2-59P	22.067	19	90.109	122	27	129	84	108
ENSG00000222416	RNA5SP274	0	0	0	0	0	0	0	0
ENSG00000222418	RNA5SP113	0	0	0	0	0	0	0	0
ENSG00000222419	RNA5SP511	0	0	0	0	0	0	0	0
ENSG00000222421	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222426	RNU2-50P	0	0	0	0	0	0	1	1
ENSG00000222427	RNA5SP338	0	0	0	0	0	0	0	0
ENSG00000222428	RNA5SP231	0	0	0	0	0	0	0	0
ENSG00000222429	RNU6-955P	0	0	0	0	0	0	0	0
ENSG00000222430	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222431	RNU6-141P	0	0	0	0	0	0	0	0
ENSG00000222432	Y_RNA	6	0	0	0	0	0	0	0
ENSG00000222436	RN7SKP278	0	0	0	0	0	0	0	0
ENSG00000222437	AC118282.3	0	0	0	0	0	0	0	0
ENSG00000222438	RNU6-1077P	0	0	0	0	0	0	1	0
ENSG00000222439	RNU6-994P	0	0	0	0	0	0	0	0
ENSG00000222440	RNU2-26P	0	0	3	1	0	0	0	0
ENSG00000222445	RN7SKP56	0	3	6	3	9	9	4	5
ENSG00000222448	RN7SKP150	0	0	1	0	0	0	1	0
ENSG00000222449	RNU6-1140P	0	0	0	0	0	0	0	0
