task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
249	88/f0b600	2607138	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (H1_REP1)	COMPLETED	0	2026-03-22 20:49:53.929	7.3s	6s	92.0%	7.5 MB	18.5 MB	628.1 MB	628.1 MB
252	7f/0883df	2607697	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (GM12878_REP1)	COMPLETED	0	2026-03-22 20:50:01.261	6.3s	4s	95.3%	7.9 MB	18.5 MB	396.6 MB	396.5 MB
251	ba/dfa718	2608092	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (GM12878_REP1)	COMPLETED	0	2026-03-22 20:50:07.529	4.9s	5s	94.9%	7.6 MB	18.5 MB	409.9 MB	409.9 MB
260	ec/043858	2608491	NFCORE_RNASEQ:RNASEQ:MULTIQC (1)	COMPLETED	0	2026-03-22 20:50:12.417	30.4s	28.2s	241.6%	197.2 MB	1.4 GB	1.7 GB	52.7 MB
263	26/da5869	2609809	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (GM12878_REP2)	COMPLETED	0	2026-03-22 20:50:42.827	29.8s	29s	90.2%	57.7 MB	72.3 MB	1.2 GB	110.8 MB
264	99/7064d5	2609825	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (GM12878_REP2)	COMPLETED	0	2026-03-22 20:50:42.840	31s	30s	90.7%	54.1 MB	68.5 MB	1.2 GB	107.1 MB
262	7c/92493c	2609805	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (H1_REP2)	COMPLETED	0	2026-03-22 20:50:42.817	35.8s	35s	95.9%	70.5 MB	84.9 MB	1.6 GB	137.6 MB
261	bc/2aeebf	2609800	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (H1_REP2)	COMPLETED	0	2026-03-22 20:50:42.810	39.1s	38s	91.7%	85.7 MB	100.4 MB	1.7 GB	144.5 MB
265	6f/93177d	2609846	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (H1_REP1)	COMPLETED	0	2026-03-22 20:50:42.846	44.4s	43s	92.5%	97.7 MB	112.1 MB	2 GB	166.5 MB
267	29/422c95	2614427	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (GM12878_REP1)	COMPLETED	0	2026-03-22 20:51:13.831	25.3s	24s	96.4%	51.2 MB	65.8 MB	1.2 GB	106.8 MB
268	a1/d8024c	2615291	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (GM12878_REP1)	COMPLETED	0	2026-03-22 20:51:18.581	25.5s	25s	96.6%	53 MB	67.5 MB	1.2 GB	110.4 MB
266	c7/a1591a	2614196	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (H1_REP1)	COMPLETED	0	2026-03-22 20:51:12.633	36.7s	35s	97.9%	98.5 MB	113 MB	1.8 GB	157.6 MB
